i,zad,N,np,real_N,time
1,3,500,12,504,11.009862462989986
1,3,500,11,506,21.581288317916915
1,3,500,10,500,22.95634393300861
1,3,500,9,504,23.918423738097772
1,3,500,8,504,16.1683995120693
1,3,500,7,504,17.81764266313985
1,3,500,6,504,16.219943640986457
1,3,500,5,500,16.401556886034086
1,3,500,4,500,25.70393437007442
1,3,500,3,501,32.343103946885094
1,3,500,2,500,63.26426677405834
1,3,500,1,500,87.29024057090282
1,3,200,12,204,1.9045887510292232
1,3,200,11,209,4.10082540800795
1,3,200,10,200,3.7736229358706623
1,3,200,9,207,4.282156986184418
1,3,200,8,200,2.6647018289659172
1,3,200,7,203,2.7769150398671627
1,3,200,6,204,2.6996783858630806
1,3,200,5,200,2.642173664877191
1,3,200,4,200,4.027496102033183
1,3,200,3,201,4.491931467084214
1,3,200,2,200,9.899197316961363
1,3,200,1,200,14.005661905976012
1,3,50,12,60,0.21047141193412244
1,3,50,11,55,0.6566817311104387
1,3,50,10,50,0.6069235200993717
1,3,50,9,54,0.6180207889992744
1,3,50,8,56,0.25025979918427765
1,3,50,7,56,0.264012950938195
1,3,50,6,54,0.21715269307605922
1,3,50,5,50,0.1943205010611564
1,3,50,4,52,0.3441477040760219
1,3,50,3,51,0.30406440794467926
1,3,50,2,50,0.6430442230775952
1,3,50,1,50,0.9055280659813434
2,3,500,12,504,10.784548196010292
2,3,500,11,506,21.640132785076275
2,3,500,10,500,23.269567237002775
2,3,500,9,504,23.839035966899246
2,3,500,8,504,16.758207564940676
2,3,500,7,504,17.10809562401846
2,3,500,6,504,18.36099050217308
2,3,500,5,500,16.693683935096487
2,3,500,4,500,24.995686318958178
2,3,500,3,501,27.75911572109908
2,3,500,2,500,60.57616362301633
2,3,500,1,500,89.25351409101859
2,3,200,12,204,1.8535540329758078
2,3,200,11,209,3.914542455924675
2,3,200,10,200,3.7768045379780233
2,3,200,9,207,4.16870102705434
2,3,200,8,200,2.757481544977054
2,3,200,7,203,2.892074286006391
2,3,200,6,204,2.7294923020526767
2,3,200,5,200,2.5972136829514056
2,3,200,4,200,4.106830835109577
2,3,200,3,201,4.4935395759530365
2,3,200,2,200,9.856169544160366
2,3,200,1,200,14.478320321068168
2,3,50,12,60,0.22340054786764085
2,3,50,11,55,0.608522049151361
2,3,50,10,50,0.5987468869425356
2,3,50,9,54,0.638938742224127
2,3,50,8,56,0.24616500898264349
2,3,50,7,56,0.2677982391323894
2,3,50,6,54,0.2102222249377519
2,3,50,5,50,0.22437719604931772
2,3,50,4,52,0.3014100200962275
2,3,50,3,51,0.33995534921996295
2,3,50,2,50,0.625925264088437
2,3,50,1,50,0.8985689969267696
3,3,500,12,504,10.740374431014061
3,3,500,11,506,21.810659082140774
3,3,500,10,500,23.362604325870052
3,3,500,9,504,23.96741991606541
3,3,500,8,504,17.049284586915746
3,3,500,7,504,16.552738052094355
3,3,500,6,504,18.061206490034238
3,3,500,5,500,17.18621896393597
3,3,500,4,500,25.46333648893051
3,3,500,3,501,27.426377427065745
3,3,500,2,500,61.31008879188448
3,3,500,1,500,87.46019477583468
3,3,200,12,204,1.8190722609870136
3,3,200,11,209,3.924682528944686
3,3,200,10,200,3.8247101940214634
3,3,200,9,207,4.1669513050001115
3,3,200,8,200,2.691601222846657
3,3,200,7,203,2.8771208829712123
3,3,200,6,204,2.9707978030201048
3,3,200,5,200,3.047347448999062
3,3,200,4,200,4.289741314016283
3,3,200,3,201,5.093141085002571
3,3,200,2,200,9.865624801022932
3,3,200,1,200,14.265553358010948
3,3,50,12,60,0.22325150412507355
3,3,50,11,55,0.6536017840262502
3,3,50,10,50,0.609284260077402
3,3,50,9,54,0.6099420110695064
3,3,50,8,56,0.2514204578474164
3,3,50,7,56,0.25400157808326185
3,3,50,6,54,0.2215463318862021
3,3,50,5,50,0.19393764110282063
3,3,50,4,52,0.3085022601298988
3,3,50,3,51,0.3174880538135767
3,3,50,2,50,0.6355424509383738
3,3,50,1,50,0.9110511839389801
4,3,500,12,504,11.042983829975128
4,3,500,11,506,21.580247164005414
4,3,500,10,500,23.513765278970823
4,3,500,9,504,23.488185902126133
4,3,500,8,504,17.150417631026357
4,3,500,7,504,16.675111274933442
4,3,500,6,504,16.6962143429555
4,3,500,5,500,16.152881073998287
4,3,500,4,500,25.73556115711108
4,3,500,3,501,27.904715383891016
4,3,500,2,500,66.8950890719425
4,3,500,1,500,88.92097607208416
4,3,200,12,204,1.9554068672005087
4,3,200,11,209,3.8980735298246145
4,3,200,10,200,3.954540449893102
4,3,200,9,207,4.078710696892813
4,3,200,8,200,2.6618729759939015
4,3,200,7,203,2.730722605017945
4,3,200,6,204,2.9011143180541694
4,3,200,5,200,2.6620432580821216
4,3,200,4,200,4.374922752846032
4,3,200,3,201,4.401201488915831
4,3,200,2,200,10.171617928892374
4,3,200,1,200,14.423613853985444
4,3,50,12,60,0.21199752110987902
4,3,50,11,55,0.6117472869809717
4,3,50,10,50,0.6049423748627305
4,3,50,9,54,0.5925884249154478
4,3,50,8,56,0.24649271299131215
4,3,50,7,56,0.25038845487870276
4,3,50,6,54,0.25417243619449437
4,3,50,5,50,0.22595710097812116
4,3,50,4,52,0.31210642913356423
4,3,50,3,51,0.3500975810457021
4,3,50,2,50,0.643955608131364
4,3,50,1,50,0.9340446179267019
5,3,500,12,504,10.833309096982703
5,3,500,11,506,21.804093384882435
5,3,500,10,500,23.239286754047498
5,3,500,9,504,24.579962359042838
5,3,500,8,504,16.35821862402372
5,3,500,7,504,18.018957332940772
5,3,500,6,504,16.24363372195512
5,3,500,5,500,16.51330854021944
5,3,500,4,500,29.233336977893487
5,3,500,3,501,27.409105353057384
5,3,500,2,500,65.4551718281582
5,3,500,1,500,90.06478778785095
5,3,200,12,204,1.878156655933708
5,3,200,11,209,3.892429503146559
5,3,200,10,200,3.843915326986462
5,3,200,9,207,4.153785275993869
5,3,200,8,200,2.6208073450252414
5,3,200,7,203,2.7937822020612657
5,3,200,6,204,2.885898533044383
5,3,200,5,200,2.691872231196612
5,3,200,4,200,4.162112944060937
5,3,200,3,201,4.503801697166637
5,3,200,2,200,9.89931074809283
5,3,200,1,200,14.647586293052882
5,3,50,12,60,0.22918447200208902
5,3,50,11,55,0.6460447330027819
5,3,50,10,50,0.6248869081027806
5,3,50,9,54,0.6022595188114792
5,3,50,8,56,0.25488401600159705
5,3,50,7,56,0.26225917506963015
5,3,50,6,54,0.23279990092851222
5,3,50,5,50,0.1970956779550761
5,3,50,4,52,0.30009466293267906
5,3,50,3,51,0.3100270349532366
5,3,50,2,50,0.6415866501629353
5,3,50,1,50,0.9098660449963063
