i,zad,N,np,real_N,time
1,1,2000,20,2000,9.525645438581705
1,1,2000,19,2014,20.33773371577263
1,1,2000,18,2016,20.844082904979587
1,1,2000,17,2006,21.908405290916562
1,1,2000,16,2000,20.48422010987997
1,1,2000,15,2010,22.319223074242473
1,1,2000,14,2002,23.7219718657434
1,1,2000,13,2002,14.273314975202084
1,1,2000,12,2004,15.487977217882872
1,1,2000,11,2002,16.933996751904488
1,1,2000,10,2000,18.491601213812828
1,1,2000,9,2007,20.51241489686072
1,1,2000,8,2000,22.662131033837795
1,1,2000,7,2002,25.392925774678588
1,1,2000,6,2004,29.65325348265469
1,1,2000,5,2000,38.217529701069
1,1,2000,4,2000,40.77101408317685
1,1,2000,3,2001,54.59928115084767
1,1,2000,2,2000,79.50169282965362
1,1,2000,1,2000,160.91185657307506
1,1,300,20,300,0.24835939519107342
1,1,300,19,304,0.6555219497531652
1,1,300,18,306,0.530863681808114
1,1,300,17,306,0.6999444384127855
1,1,300,16,304,0.5461036413908005
1,1,300,15,300,0.576503349468112
1,1,300,14,308,0.6155801936984062
1,1,300,13,312,0.38478838466107845
1,1,300,12,300,0.407798882573843
1,1,300,11,308,0.4404402244836092
1,1,300,10,300,0.44422927871346474
1,1,300,9,306,0.5053226910531521
1,1,300,8,304,0.5500626936554909
1,1,300,7,301,0.6668034102767706
1,1,300,6,300,0.6265604980289936
1,1,300,5,300,0.8137085996568203
1,1,300,4,300,1.171094762161374
1,1,300,3,300,1.353559335693717
1,1,300,2,300,1.8081938363611698
1,1,300,1,300,3.639069989323616
1,1,50,20,60,0.04322991147637367
1,1,50,19,57,0.19757320918142796
1,1,50,18,54,0.14789602905511856
1,1,50,17,51,0.11940589174628258
1,1,50,16,64,0.10875895619392395
1,1,50,15,60,0.08727545849978924
1,1,50,14,56,0.09333818592131138
1,1,50,13,52,0.06496835313737392
1,1,50,12,60,0.05867528356611729
1,1,50,11,55,0.043111201375722885
1,1,50,10,50,0.05020833760499954
1,1,50,9,54,0.041367147117853165
1,1,50,8,56,0.04786370508372784
1,1,50,7,56,0.049219051375985146
1,1,50,6,54,0.04973527416586876
1,1,50,5,50,0.053901227191090584
1,1,50,4,52,0.05661345273256302
1,1,50,3,51,0.06426901370286942
1,1,50,2,50,0.07294666394591331
1,1,50,1,50,0.12769820354878902
2,1,2000,20,2000,9.808429697528481
2,1,2000,19,2014,22.72646120004356
2,1,2000,18,2016,21.118264069780707
2,1,2000,17,2006,21.77179514989257
2,1,2000,16,2000,20.553979894146323
2,1,2000,15,2010,22.167350620031357
2,1,2000,14,2002,24.229195706546307
2,1,2000,13,2002,14.503395760431886
2,1,2000,12,2004,15.774022314697504
2,1,2000,11,2002,18.58683275990188
2,1,2000,10,2000,17.644964136183262
2,1,2000,9,2007,20.62397567741573
2,1,2000,8,2000,22.434243112802505
2,1,2000,7,2002,26.266051476821303
2,1,2000,6,2004,27.838357081636786
2,1,2000,5,2000,33.715471524745226
2,1,2000,4,2000,43.78678824938834
2,1,2000,3,2001,56.458484103903174
2,1,2000,2,2000,84.66122817248106
2,1,2000,1,2000,126.99840806052089
2,1,300,20,300,0.24987759999930859
2,1,300,19,304,0.5457327477633953
2,1,300,18,306,0.5270556062459946
2,1,300,17,306,0.5658778268843889
2,1,300,16,304,0.5871746595948935
2,1,300,15,300,0.5759301520884037
2,1,300,14,308,0.6464460548013449
2,1,300,13,312,0.39425166323781013
2,1,300,12,300,0.43857647478580475
2,1,300,11,308,0.448380995541811
2,1,300,10,300,0.435696242377162
2,1,300,9,306,0.49952781945466995
2,1,300,8,304,0.5622181110084057
2,1,300,7,301,0.6095262859016657
2,1,300,6,300,0.7237203009426594
2,1,300,5,300,0.7878490556031466
2,1,300,4,300,0.9384052958339453
2,1,300,3,300,1.4367453325539827
2,1,300,2,300,1.8245624229311943
2,1,300,1,300,3.1298740673810244
2,1,50,20,60,0.04230938293039799
2,1,50,19,57,0.1391305811703205
2,1,50,18,54,0.09292066656053066
2,1,50,17,51,0.12712491489946842
2,1,50,16,64,0.08974878862500191
2,1,50,15,60,0.11527095176279545
2,1,50,14,56,0.10009091161191463
2,1,50,13,52,0.039943862706422806
2,1,50,12,60,0.05009555444121361
2,1,50,11,55,0.04389672540128231
2,1,50,10,50,0.043773211538791656
2,1,50,9,54,0.07904631085693836
2,1,50,8,56,0.04604937694966793
2,1,50,7,56,0.05306836776435375
2,1,50,6,54,0.05046636238694191
2,1,50,5,50,0.05124440789222717
2,1,50,4,52,0.06237023510038853
2,1,50,3,51,0.06770347058773041
2,1,50,2,50,0.07541657611727715
2,1,50,1,50,1.2735593989491463
3,1,2000,20,2000,9.851005427539349
3,1,2000,19,2014,19.74037166312337
3,1,2000,18,2016,22.772908225655556
3,1,2000,17,2006,20.446536596864462
3,1,2000,16,2000,20.515269374474883
3,1,2000,15,2010,21.848845655098557
3,1,2000,14,2002,23.487481229007244
3,1,2000,13,2002,13.997192151844501
3,1,2000,12,2004,15.314756866544485
3,1,2000,11,2002,16.8013894315809
3,1,2000,10,2000,18.22299138456583
3,1,2000,9,2007,20.08891484886408
3,1,2000,8,2000,22.50394211895764
3,1,2000,7,2002,24.66173068806529
3,1,2000,6,2004,30.151183081790805
3,1,2000,5,2000,38.30979458801448
3,1,2000,4,2000,43.43024426884949
