i,zad,N,np,real_N,time
1,3,1000,1,1000,295.68439303152263
1,3,1000,2,1000,214.2627782933414
1,3,1000,3,1002,101.46206375025213
1,3,1000,4,1000,99.8055622112006
1,3,1000,5,1000,67.72123110294342
1,3,1000,6,1002,64.37513918988407
1,3,1000,7,1001,59.14625700004399
1,3,1000,8,1000,54.46777742728591
1,3,1000,9,1008,47.948429288342595
1,3,1000,10,1000,49.80841211415827
1,3,1000,11,1001,44.19278112053871
1,3,1000,12,1008,41.19641379453242
1,3,1000,13,1001,34.04056289605796
1,3,1000,14,1008,35.12641850486398
1,3,1000,15,1005,30.145810371264815
1,3,1000,16,1008,30.238308634608984
1,3,1000,17,1003,26.096678329631686
1,3,1000,18,1008,48.14245464280248
1,3,1000,19,1007,44.02100829593837
1,3,1000,20,1000,24.218218345195055
1,3,100,1,100,3.6236986089497805
1,3,100,2,100,2.5632663015276194
1,3,100,3,102,1.1602293737232685
1,3,100,4,100,1.0443416945636272
1,3,100,5,100,0.7195015698671341
1,3,100,6,102,0.8025921229273081
1,3,100,7,105,0.7284908518195152
1,3,100,8,104,0.7765665892511606
1,3,100,9,108,0.6298987977206707
1,3,100,10,100,0.5394573733210564
1,3,100,11,110,0.5866427961736917
1,3,100,12,108,0.5527481231838465
1,3,100,13,104,0.4783718902617693
1,3,100,14,112,0.5469036754220724
1,3,100,15,105,0.449550649151206
1,3,100,16,112,0.49186074919998646
1,3,100,17,102,0.37968327663838863
1,3,100,18,108,0.7819770947098732
1,3,100,19,114,0.773105638101697
1,3,100,20,100,0.33334094285964966
2,3,1000,1,1000,294.268044738099
2,3,1000,2,1000,253.68921579234302
2,3,1000,3,1002,101.55263232812285
2,3,1000,4,1000,106.62112384662032
2,3,1000,5,1000,67.96361827477813
2,3,1000,6,1002,64.38909561745822
2,3,1000,7,1001,45.80389251187444
2,3,1000,8,1000,46.67422631010413
2,3,1000,9,1008,47.387417025864124
2,3,1000,10,1000,47.301494816318154
2,3,1000,11,1001,43.876402355730534
2,3,1000,12,1008,46.165657276287675
2,3,1000,13,1001,39.62979174032807
2,3,1000,14,1008,39.6107092499733
2,3,1000,15,1005,32.655863136053085
2,3,1000,16,1008,33.93325497023761
2,3,1000,17,1003,29.876132318750024
2,3,1000,18,1008,48.301455764099956
2,3,1000,19,1007,44.593066826462746
2,3,1000,20,1000,26.196680076420307
2,3,100,1,100,3.445076707750559
2,3,100,2,100,2.448287570849061
2,3,100,3,102,1.335396185517311
2,3,100,4,100,1.082861714065075
2,3,100,5,100,0.724888252094388
2,3,100,6,102,0.7460996899753809
2,3,100,7,105,0.7008617147803307
2,3,100,8,104,0.6900472845882177
2,3,100,9,108,0.6462644021958113
2,3,100,10,100,0.5516358073800802
2,3,100,11,110,0.6376863438636065
2,3,100,12,108,0.575885608792305
2,3,100,13,104,0.5109482873231173
2,3,100,14,112,0.5343855079263449
2,3,100,15,105,0.4369859751313925
2,3,100,16,112,0.47214294224977493
2,3,100,17,102,0.3659678939729929
2,3,100,18,108,0.7793513238430023
2,3,100,19,114,0.7685882747173309
2,3,100,20,100,0.3389961589127779
3,3,1000,1,1000,369.93065511249006
3,3,1000,2,1000,216.30332278460264
3,3,1000,3,1002,117.61920430324972
3,3,1000,4,1000,106.61565309390426
3,3,1000,5,1000,67.41806657239795
3,3,1000,6,1002,64.62795805931091
3,3,1000,7,1001,53.78042306192219
3,3,1000,8,1000,60.56889353506267
3,3,1000,9,1008,53.13206037692726
3,3,1000,10,1000,49.46460835263133
3,3,1000,11,1001,43.90627215988934
3,3,1000,12,1008,43.73271817713976
3,3,1000,13,1001,37.836507339030504
3,3,1000,14,1008,41.00472425855696
3,3,1000,15,1005,32.08197479881346
3,3,1000,16,1008,32.84058437496424
3,3,1000,17,1003,28.909859182313085
3,3,1000,18,1008,47.880941746756434
3,3,1000,19,1007,43.193806463852525
3,3,1000,20,1000,25.169566055759788
3,3,100,1,100,3.0098701659590006
3,3,100,2,100,2.537737052887678
3,3,100,3,102,1.1214174963533878
3,3,100,4,100,1.074556689709425
3,3,100,5,100,0.7040952872484922
3,3,100,6,102,0.6975556928664446
3,3,100,7,105,0.5375560633838177
3,3,100,8,104,0.694620655849576
3,3,100,9,108,0.5998295526951551
3,3,100,10,100,0.5501234102994204
3,3,100,11,110,0.5621253792196512
3,3,100,12,108,0.5892703644931316
3,3,100,13,104,0.48203714936971664
3,3,100,14,112,0.5245736949145794
3,3,100,15,105,0.41118491627275944
3,3,100,16,112,0.4806282464414835
3,3,100,17,102,0.3683499824255705
3,3,100,18,108,0.7563201580196619
3,3,100,19,114,0.7707117293030024
3,3,100,20,100,0.33247657120227814
4,3,1000,1,1000,301.34804708883166
4,3,1000,2,1000,256.0266823247075
4,3,1000,3,1002,112.65773694962263
4,3,1000,4,1000,107.05406229197979
4,3,1000,5,1000,68.88467484526336
4,3,1000,6,1002,65.09624314121902
4,3,1000,7,1001,44.853525852784514
4,3,1000,8,1000,50.087148044258356
4,3,1000,9,1008,50.8680950012058
4,3,1000,10,1000,45.89991281926632
4,3,1000,11,1001,43.81730039604008
4,3,1000,12,1008,44.543390583246946
4,3,1000,13,1001,36.2550912797451
4,3,1000,14,1008,37.15226394124329
4,3,1000,15,1005,31.80709189735353
4,3,1000,16,1008,32.53230586834252
4,3,1000,17,1003,28.57554697804153
4,3,1000,18,1008,48.47631815634668
4,3,1000,19,1007,43.93240465410054
4,3,1000,20,1000,24.87920543923974
4,3,100,1,100,3.279463967308402
4,3,100,2,100,2.5111630149185658
4,3,100,3,102,1.1036962792277336
4,3,100,4,100,1.188368733972311
4,3,100,5,100,0.7376852035522461
4,3,100,6,102,0.6986554767936468
4,3,100,7,105,0.5463977977633476
4,3,100,8,104,0.5487833507359028
4,3,100,9,108,0.6700779143720865
4,3,100,10,100,0.5781877804547548
4,3,100,11,110,0.6219341214746237
4,3,100,12,108,0.5488128066062927
4,3,100,13,104,0.46238231658935547
4,3,100,14,112,0.5087745301425457
4,3,100,15,105,0.4050616901367903
4,3,100,16,112,0.4843966942280531
4,3,100,17,102,0.37032172828912735
4,3,100,18,108,0.7728880997747183
4,3,100,19,114,0.7747508846223354
4,3,100,20,100,0.3406952917575836
5,3,1000,1,1000,295.19819710589945
5,3,1000,2,1000,249.53243295662105
5,3,1000,3,1002,118.5819545481354
5,3,1000,4,1000,101.68612914159894
5,3,1000,5,1000,64.837880410254
5,3,1000,6,srun: Job step aborted: Waiting up to 182 seconds for job step to finish.
slurmstepd: error: *** STEP 10173170.165 ON n1047-amd CANCELLED AT 2022-01-12T10:07:15 DUE TO TIME LIMIT ***
1002,62.82867605239153
slurmstepd: error: *** JOB 10173170 ON n1047-amd CANCELLED AT 2022-01-12T10:07:15 DUE TO TIME LIMIT ***
