i,zad,N,np,real_N,time
1,2,2000,1,2000,57.19786446285434
1,2,2000,2,2000,39.53160564717837
1,2,2000,3,2001,18.10324564599432
1,2,2000,4,2000,16.948104551061988
1,2,2000,5,2000,10.957608161028475
1,2,2000,6,2004,10.793109103105962
1,2,2000,7,2002,9.336037043016404
1,2,2000,8,2000,9.424766676034778
1,2,2000,9,2007,7.791138078086078
1,2,2000,10,2000,7.694115051999688
1,2,2000,11,2002,7.984451132826507
1,2,2000,12,2004,7.549557705875486
1,2,2000,13,2002,6.875456488924101
1,2,2000,14,2002,12.037022717995569
1,2,2000,15,2010,10.690781934186816
1,2,2000,16,2000,11.421729766996577
1,2,2000,17,2006,10.436066244030371
1,2,2000,18,2016,10.632060877978802
1,2,2000,19,2014,10.018062845803797
1,2,2000,20,2000,5.138267788104713
1,2,300,1,300,1.7252650209702551
1,2,300,2,300,1.1486458419822156
1,2,300,3,300,0.6144273800309747
1,2,300,4,300,0.5885068678762764
1,2,300,5,300,0.49081989587284625
1,2,300,6,300,0.422425553901121
1,2,300,7,301,0.41029572091065347
1,2,300,8,304,0.3782168298494071
1,2,300,9,306,0.3801064209546894
1,2,300,10,300,0.3217745639849454
1,2,300,11,308,0.2592472080141306
1,2,300,12,300,0.334094526944682
1,2,300,13,312,0.26728876889683306
1,2,300,14,308,0.3701001650188118
1,2,300,15,300,0.3180470271036029
1,2,300,16,304,0.31285310187377036
1,2,300,17,306,0.3420800759922713
1,2,300,18,306,0.31806701398454607
1,2,300,19,304,0.29403292015194893
1,2,300,20,300,0.27015978703275323
1,2,50,1,50,0.13043723301962018
1,2,50,2,50,0.09089881996624172
1,2,50,3,51,0.06179289403371513
1,2,50,4,52,0.07358345808461308
1,2,50,5,50,0.028494094964116812
1,2,50,6,54,0.06296692602336407
1,2,50,7,56,0.026762081077322364
1,2,50,8,56,0.05158060509711504
1,2,50,9,54,0.04313869494944811
1,2,50,10,50,0.05814382480457425
1,2,50,11,55,0.058837183052673936
1,2,50,12,60,0.08161389990709722
1,2,50,13,52,0.053819267777726054
1,2,50,14,56,0.09005658910609782
1,2,50,15,60,0.07808775990270078
1,2,50,16,64,0.08538856403902173
1,2,50,17,51,0.09300661995075643
1,2,50,18,54,0.1212410640437156
1,2,50,19,57,0.09162025596015155
1,2,50,20,60,0.06479704799130559
2,2,2000,1,2000,70.66775539214723
2,2,2000,2,2000,45.685095651075244
2,2,2000,3,2001,20.63173604104668
2,2,2000,4,2000,18.88249924988486
2,2,2000,5,2000,12.391539072152227
2,2,2000,6,2004,11.377743921941146
2,2,2000,7,2002,9.41957312496379
2,2,2000,8,2000,9.204550029942766
2,2,2000,9,2007,8.044878276996315
2,2,2000,10,2000,7.684183395002037
2,2,2000,11,2002,7.379642324987799
2,2,2000,12,2004,7.665967626031488
2,2,2000,13,2002,6.996001357911155
2,2,2000,14,2002,12.089085110928863
2,2,2000,15,2010,10.571059237001464
2,2,2000,16,2000,10.462152293883264
2,2,2000,17,2006,10.828641786938533
2,2,2000,18,2016,10.68407792202197
2,2,2000,19,2014,9.823522361228243
2,2,2000,20,2000,5.025001639965922
2,2,300,1,300,1.3401114589069039
2,2,300,2,300,1.0420415129046887
2,2,300,3,300,0.5953816820401698
2,2,300,4,300,0.5809047971852124
2,2,300,5,300,0.47642053198069334
2,2,300,6,300,0.5113506789784878
2,2,300,7,301,0.3577312941197306
2,2,300,8,304,0.2539440479595214
2,2,300,9,306,0.33443280681967735
2,2,300,10,300,0.30214237701147795
2,2,300,11,308,0.40650309110060334
2,2,300,12,300,0.31062683393247426
2,2,300,13,312,0.26298114308156073
2,2,300,14,308,0.34861343493685126
2,2,300,15,300,0.3240393199957907
2,2,300,16,304,0.3211168560665101
2,2,300,17,306,0.3198574429843575
2,2,300,18,306,0.37106131692416966
2,2,300,19,304,0.3180665201507509
2,2,300,20,300,0.24804878793656826
2,2,50,1,50,0.1205082859378308
2,2,50,2,50,0.09682090603746474
2,2,50,3,51,0.06411367398686707
2,2,50,4,52,0.06247874000109732
2,2,50,5,50,0.051198978908360004
2,2,50,6,54,0.0538168428465724
2,2,50,7,56,0.051915599033236504
2,2,50,8,56,0.06187975802458823
2,2,50,9,54,0.049025261076167226
2,2,50,10,50,0.04723314009606838
2,2,50,11,55,0.06184714986011386
2,2,50,12,60,0.06485814182087779
2,2,50,13,52,0.03357769688591361
2,2,50,14,56,0.0821137500461191
2,2,50,15,60,0.10005620494484901
2,2,50,16,64,0.08222819096408784
2,2,50,17,51,0.11108084279112518
2,2,50,18,54,0.08521653199568391
2,2,50,19,57,0.108173917979002
2,2,50,20,60,0.0696626368444413
3,2,2000,1,2000,57.30741847399622
3,2,2000,2,2000,40.966271600918844
3,2,2000,3,2001,18.869368376908824
3,2,2000,4,2000,18.63977005984634
3,2,2000,5,2000,13.848783578025177
3,2,2000,6,2004,12.735779122915119
3,2,2000,7,2002,9.41349592502229
3,2,2000,8,2000,9.42868064600043
3,2,2000,9,2007,7.369060973869637
3,2,2000,10,2000,8.28106904705055
3,2,2000,11,2002,7.865117039065808
3,2,2000,12,2004,8.223576256074011
3,2,2000,13,2002,7.0089192187879235
3,2,2000,14,2002,12.227729305857792
3,2,2000,15,2010,10.952350402018055
3,2,2000,16,2000,10.819014088949189
3,2,2000,17,2006,10.432930968003348
3,2,2000,18,2016,10.761057483032346
3,2,2000,19,2014,9.904070457909256
3,2,2000,20,2000,5.193367964820936
3,2,300,1,300,1.5192700810730457
3,2,300,2,300,1.1318606319837272
3,2,300,3,300,0.6838866360485554
3,2,300,4,300,0.5974851700011641
3,2,300,5,300,0.4725465241353959
3,2,300,6,300,0.4984895121306181
3,2,300,7,301,0.38305458007380366
3,2,300,8,304,0.4204858960583806
3,2,300,9,306,0.37067075283266604
3,2,300,10,300,0.368495917879045
3,2,300,11,308,0.33268587989732623
3,2,300,12,300,0.24837637203745544
3,2,300,13,312,0.31039277580566704
3,2,300,14,308,0.39320934005081654
3,2,300,15,300,0.32303288485854864
3,2,300,16,304,0.2958517540246248
3,2,300,17,306,0.33718956098891795
3,2,300,18,306,0.3362495198380202
3,2,300,19,304,0.3146301300730556
3,2,300,20,300,0.2760234100278467
3,2,50,1,50,0.12697546905837953
3,2,50,2,50,0.09655576595105231
3,2,50,3,51,0.06897642300464213
3,2,50,4,52,0.06089554890058935
3,2,50,5,50,0.05869582714512944
3,2,50,6,54,0.060073025058954954
3,2,50,7,56,0.06846914510242641
3,2,50,8,56,0.058150402968749404
3,2,50,9,54,0.05696155782788992
3,2,50,10,50,0.0706092189066112
3,2,50,11,55,0.06121924496255815
3,2,50,12,60,0.03477878007106483
3,2,50,13,52,0.06300857686437666
3,2,50,14,56,0.08408147399313748
3,2,50,15,60,0.10608610487543046
3,2,50,16,64,0.08222624310292304
3,2,50,17,51,0.09727130713872612
3,2,50,18,54,0.08511288813315332
3,2,50,19,57,0.1051488199736923
3,2,50,20,60,0.07141857501119375
4,2,2000,1,2000,63.04714211681858
4,2,2000,2,2000,40.683719146065414
4,2,2000,3,2001,20.249450964853168
4,2,2000,4,2000,18.17665878101252
4,2,2000,5,2000,12.242275782162324
4,2,2000,6,2004,11.13446632004343
4,2,2000,7,2002,9.294541990151629
4,2,2000,8,2000,9.05617720587179
4,2,2000,9,2007,7.90192784788087
4,2,2000,10,2000,7.3346148550044745
4,2,2000,11,2002,7.520175450947136
4,2,2000,12,2004,7.588113422971219
4,2,2000,13,2002,6.875945270061493
4,2,2000,14,2002,12.972907573916018
4,2,2000,15,2010,10.679835899965838
4,2,2000,16,2000,10.696131001925096
4,2,2000,17,2006,10.673080197069794
4,2,2000,18,2016,10.511231861077249
4,2,2000,19,2014,10.142063973005861
4,2,2000,20,2000,5.05965050496161
4,2,300,1,300,1.6776017390657216
4,2,300,2,300,1.3522722760681063
4,2,300,3,300,0.6503710118122399
4,2,300,4,300,0.665473161963746
4,2,300,5,300,0.542185828089714
4,2,300,6,300,0.504003323148936
4,2,300,7,301,0.33881123596802354
4,2,300,8,304,0.4178419690579176
4,2,300,9,306,0.33138330606743693
4,2,300,10,300,0.35648132394999266
4,2,300,11,308,0.33218135219067335
4,2,300,12,300,0.3801354330498725
4,2,300,13,312,0.2720492610242218
4,2,300,14,308,0.3950303739402443
4,2,300,15,300,0.32134588807821274
4,2,300,16,304,0.3221954829059541
4,2,300,17,306,0.3590418538078666
4,2,300,18,306,0.3180645059328526
4,2,300,19,304,0.31590394815430045
4,2,300,20,300,0.2700055728200823
4,2,50,1,50,0.11358980205841362
4,2,50,2,50,0.09253970114514232
4,2,50,3,51,0.043043488170951605
4,2,50,4,52,0.06987109105102718
4,2,50,5,50,0.049880447098985314
4,2,50,6,54,0.05260171601548791
4,2,50,7,56,0.060078591806814075
4,2,50,8,56,0.06103543704375625
4,2,50,9,54,0.026759295957162976
4,2,50,10,50,0.04750264692120254
4,2,50,11,55,0.08435534895397723
4,2,50,12,60,0.04574668291024864
4,2,50,13,52,0.04955053608864546
4,2,50,14,56,0.11004374409094453
4,2,50,15,60,0.0702118300832808
4,2,50,16,64,0.08410340314731002
4,2,50,17,51,0.08521617599762976
4,2,50,18,54,0.09454866894520819
4,2,50,19,57,0.1122620259411633
4,2,50,20,60,0.08053340506739914
5,2,2000,1,2000,68.01119723985903
5,2,2000,2,2000,40.53348483517766
5,2,2000,3,2001,19.663016181904823
5,2,2000,4,2000,18.584246874786913
5,2,2000,5,2000,13.109937096014619
5,2,2000,6,2004,12.994285098975524
5,2,2000,7,2002,9.408202091930434
5,2,2000,8,2000,8.997817779891193
5,2,2000,9,2007,7.350872624898329
5,2,2000,10,2000,7.2253709197975695
5,2,2000,11,2002,7.536024434957653
5,2,2000,12,2004,7.469274569069967
5,2,2000,13,2002,7.046943941852078
5,2,2000,14,2002,11.968042793916538
