i,zad,N,np,real_N,time
1,2,2500,12,2508,13.90551582723856
1,2,2500,11,2508,25.25222740136087
1,2,2500,10,2500,28.12943778000772
1,2,2500,9,2502,33.148617615923285
1,2,2500,8,2504,37.67977418191731
1,2,2500,7,2506,39.98931330256164
1,2,2500,6,2502,28.007766222581267
1,2,2500,5,2500,31.759671380743384
1,2,2500,4,2500,44.87970054708421
1,2,2500,3,2502,38.276211481541395
1,2,2500,2,2500,119.70020508393645
1,2,2500,1,2500,130.99258981645107
1,2,500,12,504,0.6064228564500809
1,2,500,11,506,1.04254643432796
1,2,500,10,500,1.1565803494304419
1,2,500,9,504,1.2410621661692858
1,2,500,8,504,1.5594732221215963
1,2,500,7,504,1.5342633295804262
1,2,500,6,504,1.2564937341958284
1,2,500,5,500,1.0771627202630043
1,2,500,4,500,1.704356087371707
1,2,500,3,501,2.0428914297372103
1,2,500,2,500,4.389111369848251
1,2,500,1,500,4.847647590562701
1,2,50,12,60,0.04294769465923309
1,2,50,11,55,0.08165491558611393
1,2,50,10,50,0.08342624269425869
1,2,50,9,54,0.08635482005774975
1,2,50,8,56,0.10563352890312672
1,2,50,7,56,0.07975715585052967
1,2,50,6,54,0.041472427546978
1,2,50,5,50,0.0397504772990942
1,2,50,4,52,0.039753375574946404
1,2,50,3,51,0.039281945675611496
1,2,50,2,50,0.05799626559019089
1,2,50,1,50,0.07287315838038921
2,2,2500,12,2508,15.353078061714768
2,2,2500,11,2508,25.781770329922438
2,2,2500,10,2500,28.054307252168655
2,2,2500,9,2502,28.338820304721594
2,2,2500,8,2504,35.81684717349708
2,2,2500,7,2506,37.309678392484784
2,2,2500,6,2502,28.316366124898195
2,2,2500,5,2500,31.053848883137107
2,2,2500,4,2500,43.7249980121851
2,2,2500,3,2502,39.51874662190676
2,2,2500,2,2500,93.26917054504156
2,2,2500,1,2500,131.08094511553645
2,2,500,12,504,0.6111637894064188
2,2,500,11,506,1.1194816268980503
2,2,500,10,500,1.2612941265106201
2,2,500,9,504,1.3120209630578756
2,2,500,8,504,1.6304958891123533
2,2,500,7,504,1.5959494039416313
2,2,500,6,504,1.1849616225808859
2,2,500,5,500,1.2229443546384573
2,2,500,4,500,1.465369638055563
